Brand,2G,3G,4G,5G,Announced,Status,Weight,Length,Width,Diameter,Display Type,Display Size,PPI,Body Ratio,OS,Battery Capacity,Price,CPU,Ratio,Pixel,WLAN,Colors,Sensors,Bluetooth,GPU,LoudSpeaker,3.5mm Jack,Chipset,Network,Card Slot,RAM,Storage
Asus,True,True,True,True,2024.0,Available,225.0,163.8,76.8,8.9,LTPO AMOLED,6.78,388.0,20:9,Android,5500.0,1380.0,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),20:9,388.0,Wifi,Phantom Black,,5.3,Adreno 750,True,True,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),GSM / CDMA / HSPA / LTE / 5G,True,16GB,512GB
Asus,True,True,True,True,2024.0,Available,225.0,163.8,76.8,8.9,LTPO AMOLED,6.78,388.0,20:9,Android,5500.0,999.0,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),20:9,388.0,Wifi,"Phantom Black,  Rebel Grey",,5.3,Adreno 750,True,True,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),GSM / CDMA / HSPA / LTE / 5G,True,12GB,256GB
Asus,True,True,True,True,2023.0,Available,172.0,146.5,68.1,9.4,Super AMOLED,5.92,445.0,20:9,Android,4300.0,629.99,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),20:9,445.0,Wifi,"Starry Blue, Midnight Black, Aurora Green, Eclipse Red, Comet White",,5.3,Adreno 740,True,True,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),GSM / HSPA / LTE / 5G,True,8GB,128GB
Asus,True,True,True,True,2023.0,Available,239.0,173.0,77.0,10.3,AMOLED,6.78,395.0,,Android,6000.0,589.0,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),,395.0,Wifi,Storm White,,5.3,Adreno 740,True,True,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),GSM / CDMA / HSPA / LTE / 5G,True,16GB,512GB
Asus,True,True,True,True,2023.0,Available,239.0,173.0,77.0,10.3,AMOLED,6.78,395.0,,Android,6000.0,780.0,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),,395.0,Wifi,"Phantom Black, Storm White",,5.3,Adreno 740,True,True,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),GSM / CDMA / HSPA / LTE / 5G,True,12GB,256GB
Asus,True,True,True,True,2022.0,Available,247.0,173.0,77.0,10.4,AMOLED,6.78,395.0,,Android,6000.0,2285.0,Octa-core (1x3.35 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),,395.0,Wifi,Space Gray,,5.3,Mali-G710 MC10,True,True,Mediatek Dimensity 9000+ (4 nm),GSM / CDMA / HSPA / LTE / 5G,True,16GB,512GB
Asus,True,True,True,True,2022.0,Available,239.0,173.0,77.0,10.4,AMOLED,6.78,395.0,,Android,6000.0,899.0,Octa-core (1x3.35 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),,395.0,Wifi,Space Gray,,5.3,Mali-G710 MC10,True,True,Mediatek Dimensity 9000+ (4 nm),GSM / CDMA / HSPA / LTE / 5G,True,12GB,256GB
Asus,True,True,True,True,2022.0,Available,239.0,173.0,77.0,10.4,AMOLED,6.78,395.0,,Android,6000.0,599.99,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),,395.0,Wifi,Hellfire Red,,5.2,Adreno 730,True,True,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),GSM / CDMA / HSPA / LTE / 5G,True,16GB,512GB
Asus,True,True,True,True,2022.0,Available,239.0,173.0,77.0,10.4,AMOLED,6.78,395.0,,Android,6000.0,1650.0000000000002,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510)Octa-core (1x3.35 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),,395.0,Wifi,Night Black,,5.2,Adreno 730Mali-G710 MC10,True,True,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm) - USAMediatek Dimensity 9000+ (4 nm) - International,GSM / CDMA / HSPA / LTE / 5G,True,12GB,256GB
Asus,True,True,True,True,2022.0,Available,169.0,146.5,68.1,9.1,Super AMOLED,5.9,445.0,20:9,Android,4300.0,449.0,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),20:9,445.0,Wifi,"Starry Blue, Moonlight White, Sunset Red, Midnight Black",,5.2,Adreno 730,True,True,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),GSM / HSPA / LTE / 5G,True,6GB,128GB
Asus,True,True,True,True,2022.0,Available,239.0,173.0,77.0,10.3,AMOLED,6.78,395.0,,Android,6000.0,2171.0,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),,395.0,Wifi,Storm White,,5.2,Adreno 730,True,True,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),GSM / CDMA / HSPA / LTE / 5G,True,18GB,512GB
