t_Brand,t_Phone,t_Network,t_Network_2G_bands,t_Network_3G_bands,t_Network_4G_bands,t_Network_5G_bands,t_Network_Speed,t_Network_GPRS,t_Network_EDGE,t_Launch_Announced,t_Launch_Status,t_Body_Dimensions,t_Body_Weight,t_Body_SIM,t_Display_Type,t_Display_Size,t_Display_Resolution,t_Display_Protection,t_Platform_OS,t_Platform_Chipset,t_Platform_CPU,t_Platform_GPU,t_Memory_Card_slot,t_Internal_capacity,t_Internal,t_Battery,t_Price,t_Colors,t_Bluetooth,t_WLAN,t_Sensors,t_Loudspeaker,t_3.5mm_jack
Asus203,ROG Phone 8 Pro,GSM / CDMA / HSPA / LTE / 5G,CDMA 800,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 29, 30, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66, 71 - USA","1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 29, 38, 40, 41, 48, 66, 71, 77, 78, 79 SA/NSA/Sub6 - USA","HSPA, LTE-A (Up to 7CA), 5G",,,"2024, January 08","Available. Released 2024, January 18",163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in),225 g (7.94 oz),IP68 dust/water resistant (up to 1.5m for 30 min)341 Mini-LED programmable matrix (on the back)Pressure sensitive zones (Gaming triggers),"LTPO AMOLED, 1B colors, 165Hz, HDR10, 1600 nits (HBM), 2500 nits (peak)","6.78 inches, 111.0 cm2(~88.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",Always-On display,Android 14,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,No,"512GB 16GB RAM, 1TB 24GB RAM",UFS 4.0NTFS support for external storage,"5500 mAh, non-removable","$ 1,380.00 / € 1,199.99",Phantom Black,"5.3, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Yes, with stereo speakers",32-bit/384kHz Hi-Res & Hi-Res wireless audio
Asus203,ROG Phone 8,GSM / CDMA / HSPA / LTE / 5G,CDMA 800,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 29, 30, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66, 71 - USA","1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 29, 38, 40, 41, 48, 66, 71, 77, 78, 79 SA/NSA/Sub6 - USA","HSPA, LTE-A (Up to 7CA), 5G",,,"2024, January 08","Available. Released 2024, January 18",163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in),225 g (7.94 oz),IP68 dust/water resistant (up to 1.5m for 30 min)Illuminated RGB logo (on the back)Pressure sensitive zones (Gaming triggers),"LTPO AMOLED, 1B colors, 165Hz, HDR10, 1600 nits (HBM), 2500 nits (peak)","6.78 inches, 111.0 cm2(~88.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",Always-On display,Android 14,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,No,"256GB 12GB RAM, 256GB 16GB RAM",UFS 4.0NTFS support for external storage,"5500 mAh, non-removable","$ 999.00 / € 1,099.99","Phantom Black,  Rebel Grey","5.3, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Yes, with stereo speakers",32-bit/384kHz Hi-Res & Hi-Res wireless audio
Asus203,Zenfone 10,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 42","1, 2, 3, 5, 7, 8, 12, 20, 28, 38, 41, 77, 78 SA/NSA","HSPA, LTE-A (CA), 5G",,,"2023, June 29","Available. Released 2023, July 10",146.5 x 68.1 x 9.4 mm (5.77 x 2.68 x 0.37 in),172 g (6.07 oz),IP68 dust/water resistant (up to 1.5m for 30 min),"Super AMOLED, 144Hz, HDR10+, 800 nits (HBM), 1100 nits (peak)","5.92 inches, 84.6 cm2(~84.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~445 ppi density)",Always-on display*144Hz only available in supported games,"Android 13, upgradable to Android 14",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 16GB RAM, 512GB 16GB RAM",UFS 4.0,"Li-Po 4300 mAh, non-removable",$ 629.99 / € 679.00 / £ 649.99,"Starry Blue, Midnight Black, Aurora Green, Eclipse Red, Comet White","5.3, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Yes, with stereo speakers",24-bit/192kHz Hi-Res audioSnapdragon Sound
Asus203,ROG Phone 7 Ultimate,GSM / CDMA / HSPA / LTE / 5G,CDMA 800,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41, 42, 48 - China","1, 3, 5, 8, 28, 41, 77, 78, 79 SA/NSA/Sub6 - China","HSPA, LTE-A (Up to 7CA), 5G",,,"2023, April 13","Available. Released 2023, May",173 x 77 x 10.3 mm (6.81 x 3.03 x 0.41 in),239 g (8.43 oz),"Built-in motorized cooling air vent (AeroActive Portal)IP54, dust and splash resistant2"" OLED display (on the back)Pressure sensitive zones (Gaming triggers)","AMOLED, 1B colors, 165Hz, HDR10+, 1000 nits (HBM), 1500 nits (peak)","6.78 inches, 109.5 cm2(~82.2% screen-to-body ratio)",1080 x 2448 pixels (~395 ppi density),Corning Gorilla Glass Victus,Android 13,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,512GB 16GB RAM,UFS 4.0NTFS support for external storage,"Li-Po 6000 mAh, non-removable",$ 589.00 / € 993.90,Storm White,"5.3, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Yes, with stereo speakers (2 amplifiers)",32-bit/384kHz Hi-Res audioSnapdragon Sound
Asus203,ROG Phone 7,GSM / CDMA / HSPA / LTE / 5G,CDMA 800,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41, 42, 48 - China","1, 3, 5, 8, 28, 41, 77, 78, 79 SA/NSA/Sub6 - China","HSPA, LTE-A (Up to 7CA), 5G",,,"2023, April 13","Available. Released 2023, May",173 x 77 x 10.3 mm (6.81 x 3.03 x 0.41 in),239 g (8.43 oz),"IP54, dust and splash resistantIlluminated RGB logo (on the back)Pressure sensitive zones (Gaming triggers)","AMOLED, 1B colors, 165Hz, HDR10+, 1000 nits (HBM), 1500 nits (peak)","6.78 inches, 109.5 cm2(~82.2% screen-to-body ratio)",1080 x 2448 pixels (~395 ppi density),Corning Gorilla Glass Victus,Android 13,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"256GB 12GB RAM, 512GB 16GB RAM",UFS 4.0NTFS support for external storage,"Li-Po 6000 mAh, non-removable",$ 780.00 / € 855.94 / £ 884.06,"Phantom Black, Storm White","5.3, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Yes, with stereo speakers (2 amplifiers)",32-bit/384kHz Hi-Res audioSnapdragon Sound
Asus203,ROG Phone 6D Ultimate,GSM / CDMA / HSPA / LTE / 5G,CDMA 800 - B version,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41, 42, 48 - B version","1, 3, 5, 8, 28, 41, 77, 78, 79 SA/NSA/Sub6 - B version","HSPA 42.2/11.5 Mbps, LTE-A (5CA) Cat19 1600/210 Mbps, 5G",,,"2022, September 19","Available. Released 2022, October 07",173 x 77 x 10.4 mm (6.81 x 3.03 x 0.41 in),247 g (8.71 oz),"Built-in motorized cooling air vent (AeroActive Portal)IPX4 water resistant2"" OLED display (on the back)Pressure sensitive zones (Gaming triggers)","AMOLED, 1B colors, 165Hz, HDR10+, 800 nits (typ), 1200 nits (peak)","6.78 inches, 109.5 cm2(~82.2% screen-to-body ratio)",1080 x 2448 pixels (~395 ppi density),Corning Gorilla Glass Victus,Android 12,Mediatek Dimensity 9000+ (4 nm),Octa-core (1x3.35 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Mali-G710 MC10,No,512GB 16GB RAM,UFS 3.1NTFS support for external storage,"Li-Po 6000 mAh, non-removable","$ 2,285.00 / € 1,099.00",Space Gray,"5.3, A2DP, LE, aptX HD, aptX Adaptive","Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Yes, with stereo speakers (2 amplifiers)",24-bit/192kHz Hi-Res audio
Asus203,ROG Phone 6D,GSM / CDMA / HSPA / LTE / 5G,CDMA 800 - B version,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41, 42, 48 - B version","1, 3, 5, 8, 28, 41, 77, 78, 79 SA/NSA/Sub6 - B version","HSPA 42.2/11.5 Mbps, LTE-A (5CA) Cat19 1600/210 Mbps, 5G",,,"2022, September 19","Available. Released 2022, October 11",173 x 77 x 10.4 mm (6.81 x 3.03 x 0.41 in),239 g (8.43 oz),IPX4 water resistantIlluminated RGB logo (on the back)Pressure sensitive zones (Gaming triggers),"AMOLED, 1B colors, 165Hz, HDR10+, 800 nits (typ), 1200 nits (peak)","6.78 inches, 109.5 cm2(~82.2% screen-to-body ratio)",1080 x 2448 pixels (~395 ppi density),Corning Gorilla Glass Victus,Android 12,Mediatek Dimensity 9000+ (4 nm),Octa-core (1x3.35 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Mali-G710 MC10,No,"256GB 12GB RAM, 256GB 16GB RAM",UFS 3.1NTFS support for external storage,"Li-Po 6000 mAh, non-removable",$ 899.00 / £ 589.95,Space Gray,"5.3, A2DP, LE, aptX HD, aptX Adaptive","Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Yes, with stereo speakers (2 amplifiers)",24-bit/192kHz Hi-Res audio
Asus203,ROG Phone 6 Diablo Immortal Edition,GSM / CDMA / HSPA / LTE / 5G,CDMA 800,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - B version,"1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41, 42, 48 - C version","1, 3, 5, 8, 28, 41, 77, 78, 79 SA/NSA - C version","Up to HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat20 2024/210 Mbps",,,"2022, November 17","Available. Released 2022, November 18",173 x 77 x 10.4 mm (6.81 x 3.03 x 0.41 in),239 g (8.43 oz),IPX4 water resistantIlluminated RGB logo (on the back)Pressure sensitive zones (Gaming triggers),"AMOLED, 1B colors, 165Hz, HDR10+, 800 nits (typ), 1200 nits (peak)","6.78 inches, 109.5 cm2(~82.2% screen-to-body ratio)",1080 x 2448 pixels (~395 ppi density),Corning Gorilla Glass Victus,Android 12,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,512GB 16GB RAM,UFS 3.1NTFS support for external storage,"Li-Po 6000 mAh, non-removable",$ 599.99 / € 918.77,Hellfire Red,"5.2, A2DP, LE, aptX HD, aptX Adaptive","Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Yes, with stereo speakers (2 amplifiers)",32-bit/384kHz Hi-Res audio
Asus203,ROG Phone 6 Batman Edition,GSM / CDMA / HSPA / LTE / 5G,CDMA 800,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - B version (Snapdragon),"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41, 42, 48 - B version (Snapdragon)","1, 3, 7, 8, 20, 28, 38, 40, 41, 77, 78, 79 SA/NSA/Sub6 - B version (Snapdragon)","HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat20 2024/210 Mbps, 5G - Snapdragon modelHSPA 42.2/11.5 Mbps, LTE-A (5CA) Cat19 1600/210 Mbps, 5G - MediaTek mod",,,"2022, September 19","Available. Released 2022, October 10",173 x 77 x 10.4 mm (6.81 x 3.03 x 0.41 in),239 g (8.43 oz),IPX4 water resistantIlluminated RGB logo (on the back)Pressure sensitive zones (Gaming triggers),"AMOLED, 1B colors, 165Hz, HDR10+, 800 nits (typ), 1200 nits (peak)","6.78 inches, 109.5 cm2(~82.2% screen-to-body ratio)",1080 x 2448 pixels (~395 ppi density),Corning Gorilla Glass Victus,Android 12,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm) - USAMediatek Dimensity 9000+ (4 nm) - International,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510)Octa-core (1x3.35 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730Mali-G710 MC10,No,256GB 12GB RAM,UFS 3.1NTFS support for external storage,"Li-Po 6000 mAh, non-removable",About 1500 EUR,Night Black,"5.2, A2DP, LE, aptX HD, aptX Adaptive - Snapdragon model5.3, A2DP, LE - MediaTek model","Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Yes, with stereo speakers (2 amplifiers)",24-bit/192kHz Hi-Res audio - MediaTek model32-bit/384kHz Hi-Res audio - Snapdragon model
Asus203,Zenfone 9,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 30, 34, 38, 39, 40, 41, 42, 66, 71 - C version","1, 2, 3, 5, 7, 8, 12, 20, 25, 28, 38, 40, 41, 66, 71, 77, 78 - C version","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat20 2000/211 Mbps, 5G 4.5/0.9 Gbps",,,"2022, July 28","Available. Released 2022, September 15",146.5 x 68.1 x 9.1 mm (5.77 x 2.68 x 0.36 in),169 g (5.96 oz),IP68 dust/water resistant (up to 1.5m for 30 min),"Super AMOLED, 120Hz, HDR10+, 1100 nits (peak)","5.9 inches, 84.4 cm2(~84.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~445 ppi density)",Always-on display,"Android 12, upgradable to Android 13",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 16GB RAM",UFS 3.1,"Li-Po 4300 mAh, non-removable",$ 449.00 / € 423.95 / £ 449.99,"Starry Blue, Moonlight White, Sunset Red, Midnight Black","5.2, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Yes, with stereo speakers",24-bit/192kHz Hi-Res audioSnapdragon Sound
